CNN008,PC,v1.0.0,
Member ID,29343,,
Rotation,PC,,
DateTime,Member ID,Message,
12/1/2018 9:18,29343,Began TV_Validation.mp4.,
12/1/2018 9:19,29343,Began WelcomeWarningsBaseLineInstructions.mp4.,
12/1/2018 9:19,29343,Began face_calibration_v4.mp4.,
12/1/2018 9:20,29343,Began baselineinstruction4min.mp4.,
12/1/2018 9:21,29343,Began zen4minbaseline.mp4.,
12/1/2018 9:25,29343,Sent 255 signal to ADI.,
12/1/2018 9:25,29343, selected undefined,
12/1/2018 9:25,29343,Sent 255 signal to ADI.,
12/1/2018 9:25,29343, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-113018\assets\cnn_videos\Negative_5_colorado-man-arrested-in-connection-for-murder-of-wife-and-daughters-orig-tc_cnn_2346353_768x432_1300k.mp4,
12/1/2018 9:25,29343,Sent 2 signal to ADI.,
12/1/2018 9:25,29343,Sent 2 signal to ADI.,
12/1/2018 9:32,29343,Sent 255 signal to ADI.,
12/1/2018 9:32,29343, selected undefined,
12/1/2018 9:32,29343,Sent 255 signal to ADI.,
12/1/2018 9:32,29343, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-113018\assets\test_ads\Netflix\Netflix_15.mp4,
12/1/2018 9:32,29343,Sent 2 signal to ADI.,
12/1/2018 9:32,29343,Sent 2 signal to ADI.,
12/1/2018 9:32,29343,Sent 255 signal to ADI.,
12/1/2018 9:32,29343, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-113018\assets\cnn_videos\Negative_4_bodycam-deputy-camp-fire-orig-acl_cnn_2359485_768x432_1300k.mp4,
12/1/2018 9:32,29343,Sent 2 signal to ADI.,
12/1/2018 9:33,29343,Started mid-session survey 1,
12/1/2018 9:35,29343,Survey answers | boring/entertaining : boring_entertaining_6 unexciting/exciting : unexciting_exciting_6 negative/positive : negative_positive_3 political/nonpolitical : nonpolitical_political_1 ,
12/1/2018 9:35,29343,Survey answers | boring/entertaining : boring_entertaining_7 unexciting/exciting : unexciting_exciting_6 negative/positive : negative_positive_5 political/nonpolitical : nonpolitical_political_1 ,
12/1/2018 9:36,29343, selected undefined,
12/1/2018 9:36,29343,Sent 255 signal to ADI.,
12/1/2018 9:36,29343,Sent 255 signal to ADI.,
12/1/2018 9:36,29343, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-113018\assets\test_ads\Amazon\Amazon_15.mp4,
12/1/2018 9:36,29343,Sent 2 signal to ADI.,
12/1/2018 9:36,29343,Sent 2 signal to ADI.,
12/1/2018 9:36,29343,Sent 255 signal to ADI.,
12/1/2018 9:36,29343, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-113018\assets\cnn_videos\California fires Bus driver from heaven Kevin McKay rescue.mp4,
12/1/2018 9:36,29343,Sent 2 signal to ADI.,
12/1/2018 9:41,29343,Sent 255 signal to ADI.,
12/1/2018 9:41,29343, selected Waitomo Caves: Where to find glowworms in real life,
12/1/2018 9:41,29343,Sent 255 signal to ADI.,
12/1/2018 9:41,29343, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-113018\assets\cnn_videos\At Waitomo Caves in New Zealand, glowworms illuminate.mp4
12/1/2018 9:41,29343,Sent 2 signal to ADI.,
12/1/2018 9:41,29343,Sent 2 signal to ADI.,
12/1/2018 9:43,29343,Started mid-session survey 2,
12/1/2018 9:43,29343,Survey answers | boring/entertaining : boring_entertaining_7 unexciting/exciting : unexciting_exciting_7 negative/positive : negative_positive_7 political/nonpolitical : nonpolitical_political_1 ,
12/1/2018 9:43,29343,Survey answers | boring/entertaining : boring_entertaining_7 unexciting/exciting : unexciting_exciting_5 negative/positive : negative_positive_7 political/nonpolitical : nonpolitical_political_1 ,
12/1/2018 9:44,29343,Sent 255 signal to ADI.,
12/1/2018 9:44,29343, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-113018\assets\entertainment_clips\The Big Bang Theory - Devastated (S12E09).mp4,
12/1/2018 9:44,29343,Sent 2 signal to ADI.,
12/1/2018 9:47,29343,Sent 255 signal to ADI.,
12/1/2018 9:47,29343, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-113018\assets\entertainment_clips\The Walking Dead_Earning Michonnes Trust Talked About Scene Ep. 907.mp4,
12/1/2018 9:47,29343,Sent 2 signal to ADI.,
12/1/2018 9:49,29343,Started mid-session survey 3,
12/1/2018 9:49,29343,Survey answers | boring/entertaining : boring_entertaining_5 unexciting/exciting : unexciting_exciting_3 negative/positive : negative_positive_4 political/nonpolitical : nonpolitical_political_1 ,
12/1/2018 9:49,29343,Survey answers | boring/entertaining : boring_entertaining_6 unexciting/exciting : unexciting_exciting_5 negative/positive : negative_positive_2 political/nonpolitical : nonpolitical_political_1 ,
12/1/2018 9:50,29343,Sent 255 signal to ADI.,
12/1/2018 9:50,29343, selected undefined,
12/1/2018 9:50,29343,Sent 2 signal to ADI.,
12/1/2018 9:55,29343,Sent 255 signal to ADI.,
12/1/2018 9:55,29343, selected undefined,
12/1/2018 9:55,29343,Sent 255 signal to ADI.,
12/1/2018 9:55,29343, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-113018\assets\cnn_videos\Political_1_michael-cohen-guilty-plea-trump-brown-tsr-dnt-vpx_cnn_2359389_768x432_1300k.mp4,
12/1/2018 9:55,29343,Sent 2 signal to ADI.,
12/1/2018 9:55,29343,Sent 2 signal to ADI.,
12/1/2018 9:58,29343,Sent 255 signal to ADI.,
12/1/2018 9:58,29343, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-113018\assets\cnn_videos\Political_4_lead-jeff-zeleny-dnt-trump-jake-tapper_cnn_2359157_768x432_1300k.mp4,
12/1/2018 9:58,29343,Sent 2 signal to ADI.,
12/1/2018 10:02,29343,Started mid-session survey 4,
12/1/2018 10:02,29343,Survey answers | boring/entertaining : boring_entertaining_5 unexciting/exciting : unexciting_exciting_4 negative/positive : negative_positive_3 political/nonpolitical : nonpolitical_political_7 ,
12/1/2018 10:02,29343,Survey answers | boring/entertaining : boring_entertaining_5 unexciting/exciting : unexciting_exciting_5 negative/positive : negative_positive_3 political/nonpolitical : nonpolitical_political_7 ,
12/1/2018 10:02,29343,Began TV_Validation.mp4.,
12/1/2018 10:03,29343,Began EndInstructions.mp4.,
